City ID,City,Country,Date,Lat,Lng,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
66,Ponta do Sol,PT,2022-12-28 04:01:12,32.6667,-17.1,63.01,27,0,5.68
67,Boca do Acre,BR,2022-12-28 03:57:38,-8.7522,-67.3978,73.67,76,36,2.3
68,Busselton,AU,2022-12-28 04:00:26,-33.65,115.3333,77.25,28,0,1.21
69,Lavrentiya,RU,2022-12-28 04:01:13,65.5833,-171.0,-4.97,92,44,10.54
70,Sørland,NO,2022-12-28 04:01:14,67.667,12.6934,33.66,66,100,27.04
71,Aban,RU,2022-12-28 03:57:38,56.67,96.06,15.22,91,100,4.16
72,Krasnosel'kup,RU,2022-12-28 04:01:14,65.7,82.4667,-17.05,100,85,3.96
73,Torbay,CA,2022-12-28 04:01:14,47.6666,-52.7314,37.58,92,75,16.11
74,George Town,MY,2022-12-28 04:01:15,5.4112,100.3354,85.93,69,20,10.36
75,Guerrero Negro,MX,2022-12-28 04:01:15,27.9769,-114.0611,61.88,68,36,5.75
76,Asău,RO,2022-12-28 03:56:36,46.4333,26.4,33.28,82,11,4.38
77,Bonavista,CA,2022-12-28 04:01:16,48.6499,-53.1147,31.68,97,100,8.48
78,Chui,UY,2022-12-28 04:01:16,-33.6971,-53.4616,64.65,68,100,7.78
79,Rio Grande,BR,2022-12-28 04:01:16,-32.035,-52.0986,65.95,68,100,9.57
80,Malbork,PL,2022-12-28 03:57:40,54.0359,19.0266,36.84,94,60,11.3
81,Aquiraz,BR,2022-12-28 04:01:17,-3.9014,-38.3911,81.18,79,50,13.06
82,Puerto del Rosario,ES,2022-12-28 04:01:17,28.5004,-13.8627,69.55,73,0,14.97
83,Faya,SA,2022-12-28 03:56:30,18.3851,42.4509,46.51,70,25,6.04
84,Petropavlovsk-Kamchatskiy,RU,2022-12-28 03:57:41,53.0452,158.6483,18.19,53,0,6.71
85,Kavieng,PG,2022-12-28 04:01:18,-2.5744,150.7967,84.72,64,52,6.93
86,Mataura,NZ,2022-12-28 04:01:18,-46.1927,168.8643,82.8,38,0,4.21
87,Brae,GB,2022-12-28 04:01:19,60.3964,-1.353,40.19,94,100,22.77
88,Lakshmīpur,BD,2022-12-28 04:01:19,22.95,90.8333,73.9,69,24,4.59
89,Hobart,AU,2022-12-28 04:01:20,-42.8794,147.3294,75.06,46,40,20.71
90,Hasaki,JP,2022-12-28 04:01:20,35.7333,140.8333,57.29,56,100,4.81
91,Saldanha,ZA,2022-12-28 04:01:21,-33.0117,17.9442,62.62,93,1,7.76
92,São João da Barra,BR,2022-12-28 04:01:21,-21.6403,-41.0511,74.12,91,100,11.45
93,Dikson,RU,2022-12-28 04:01:21,73.5069,80.5464,-17.73,95,83,2.66
94,Lagan,RU,2022-12-28 04:01:22,45.3929,47.3707,33.67,70,95,7.92
95,Sasebo,JP,2022-12-28 03:57:43,33.1592,129.7228,51.78,52,20,11.21
96,Vaini,TO,2022-12-28 04:01:23,-21.2,-175.2,81.09,74,93,7.72
97,Rāmgarh,IN,2022-12-28 03:57:43,23.6333,85.5167,62.65,22,0,6.62
98,Mar del Plata,AR,2022-12-28 04:01:23,-38.0023,-57.5575,68.09,89,90,11.01
99,Bagdarin,RU,2022-12-28 04:01:24,54.4333,113.6,1.4,66,4,1.81
100,Mana,GF,2022-12-28 03:57:44,5.6592,-53.7767,75.24,90,72,8.43
101,Sawtell,AU,2022-12-28 03:57:45,-30.3833,153.1,79.18,65,0,13.8
102,Vilhena,BR,2022-12-28 03:56:46,-12.7406,-60.1458,69.66,91,39,4.14
103,Laguna,US,2022-12-28 04:01:26,38.421,-121.4238,53.17,94,0,8.05
104,Walvis Bay,NA,2022-12-28 04:01:26,-22.9575,14.5053,62.1,94,6,8.99
105,San Cristobal,VE,2022-12-28 04:01:26,7.7669,-72.225,64.06,75,38,1.23
106,East London,ZA,2022-12-28 04:00:34,-33.0153,27.9116,69.62,80,86,14.52
107,Emba,KZ,2022-12-28 04:01:27,48.8264,58.1442,19.78,88,100,6.35
108,San Andrés,CO,2022-12-28 03:57:46,12.5847,-81.7006,80.62,78,75,8.05
109,Ulaangom,MN,2022-12-28 04:01:27,49.9811,92.0667,-13.97,97,98,1.74
110,Wukari,NG,2022-12-28 03:57:46,7.85,9.7833,68.92,28,3,7.52
111,Telšiai,LT,2022-12-28 04:01:28,55.9814,22.2472,32.77,91,50,10.58
112,Norman Wells,CA,2022-12-28 04:01:28,65.282,-126.8329,-18.24,99,100,2.06
113,Dicamay,PH,2022-12-28 04:01:29,16.7561,122.0037,68.52,95,100,3.47
114,Kazachinskoye,RU,2022-12-28 04:01:29,57.6953,93.2761,14.07,94,100,3.49
115,Turaif,SA,2022-12-28 04:01:29,31.6725,38.6637,45.59,82,55,6.87
116,Weihe,CN,2022-12-28 03:57:48,32.9952,105.3247,37.0,27,87,4.16
117,Longyearbyen,SJ,2022-12-28 04:01:14,78.2186,15.6401,33.64,75,75,20.71
118,Suntar,RU,2022-12-28 04:01:30,62.1444,117.6319,8.1,92,100,8.66
119,Tuktoyaktuk,CA,2022-12-28 04:01:30,69.4541,-133.0374,-19.52,99,35,8.43
